"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME203510"	NA	NA	NA	NA	NA	NA	NA	1422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203499"	12200000	11300000	1.1e+07	6042451	4493453	7838030	4017418	5897168	6130370	5236926	4041713	5987693	2762615	623053	5099777	4007885	7649277	392939	5761372	3442443	1367360	5037999	1620448	2186916	3945928	2639957	3606845	4874946	4411333	4244728	1195922	3701634	3916813
"ME203511"	1457002	995738	511656	559362	1177869	581427	1009985	310463	283951	181787	436409	165449	166919	137118	253603	669915	310116	34459	215946	326767	150220	558096	543635	357357	198459	241230	642332	529053	154359	178745	191397	616530	43135
"ME203512"	NA	NA	NA	NA	NA	NA	NA	NA	41446	2672	9632	26379	33117	16805	37022	22916	13941	52887	44546	7886	19892	15790	45981	4259	NA	NA	29176	17445	9158	6483	5282	NA	3483
"ME203513"	942600	868544	914031	868939	895135	946321	952276	672105	802806	870797	851377	875856	444739	469633	934393	895835	819431	926666	921647	855846	897051	890506	931980	872603	874640	876473	885377	906242	895781	866967	909362	858668	864883
"ME203514"	24478	22284	20985	45075	70476	7070	51362	25189	22779	24976	52455	10321	7574	14254	21394	70158	48399	7812	17239	27577	19631	19560	23909	29506	21491	31150	28816	30399	20538	20267	13676	70419	11054
"ME203515"	23540	13880	10112	25845	81062	18661	30818	22197	NA	75166	16823	93508	62494	42165	52712	29605	68278	NA	20329	95570	NA	71818	NA	NA	85999	33965	49208	NA	NA	NA	NA	12109	88449
"ME203516"	NA	NA	NA	4237	NA	NA	NA	NA	NA	NA	NA	NA	NA	2127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2894	NA
"ME203517"	31218	34458	39798	29249	44292	30598	24401	24136	NA	NA	NA	NA	NA	NA	NA	NA	6362	NA	NA	3899	NA	NA	NA	NA	NA	NA	NA	6390	NA	NA	NA	17979	NA
"ME203518"	28642	76210	60109	71563	60044	55882	46000	61000	43969	75550	64724	131583	52892	45325	52391	27298	33382	NA	73355	45539	50093	51683	42921	55871	133109	103714	41831	77207	28608	30343	115810	17080	93973
"ME203519"	NA	NA	3827	NA	5223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203520"	18501	17661	11039	17327	21281	NA	15297	10974	11243	NA	14160	8674	6525	9018	13078	NA	16175	NA	NA	NA	9335	NA	13103	15291	NA	11828	NA	13955	NA	NA	NA	NA	NA
"ME203521"	41413	39183	12056	11231	8215	13567	54975	16584	16162	12006	11111	10486	14313	14308	28921	12893	10212	46936	13092	11297	12663	16921	42557	11158	17519	10620	8186	11177	29520	27713	15570	54240	17050
"ME203522"	NA	2397	NA	NA	NA	4547	NA	1690	NA	2862	7787	12905	17485	NA	NA	NA	16099	NA	NA	1889	NA	NA	90624	17992	1744	11740	NA	NA	NA	NA	3919	10656	NA
"ME203523"	224342	201630	868865	248675	173526	1715492	48956	701654	390265	3401100	1518439	NA	6465399	2078622	4239469	3455245	1891535	3874911	41729	1687415	3278215	108921	9941454	33164	85237	25629	9427272	135610	NA	1423226	2071067	1882769	1629167
"ME203524"	NA	3013	NA	NA	NA	3462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7893	NA	2581	1774	NA	12430	NA	NA	NA	10558	NA	4065	NA	NA	NA	9056
"ME203525"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203526"	31416	24868	46715	24481	31842	18756	18514	10309	77622	29792	NA	49816	17273	19198	9675	13935	39592	NA	24347	39852	25005	26919	192303	18091	37772	20669	NA	22584	NA	24079	37201	14581	NA
"ME203527"	7274	17698	15612	16109	13315	21060	12489	35011	20346	30135	41880	45172	22524	23181	55460	22473	41281	NA	40388	51777	39354	53368	10840	64009	42216	201100	88193	32630	46010	63126	95635	12701	70677
"ME203528"	53860	79503	49253	78617	83269	79748	65327	25284	5682	1647	7034	2764	9034	NA	NA	NA	19494	13825	NA	8401	3792	7429	5484	11769	21973	9589	1326	12440	NA	NA	NA	56606	56612
"ME203529"	NA	23124	28945	19282	14523	NA	NA	27127	NA	45039	55606	24340	18583	NA	28486	NA	30985	NA	NA	NA	NA	NA	NA	25563	NA	27279	18602	33166	NA	NA	26348	NA	NA
"ME203530"	342245	203244	395794	364147	377389	938027	367683	282526	157036	21693	65250	NA	18356	NA	126112	124453	64849	NA	131008	349467	167609	62667	NA	51242	7242	79419	143584	128855	19762	32748	16258	296414	93274
"ME203531"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2821	NA	NA	NA	2913	NA	NA	NA	NA	NA	NA	NA	NA	3430
"ME203532"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3056	NA	NA	NA	NA	NA	NA
"ME203533"	NA	4470	NA	NA	2900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203534"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2219	2237	NA	NA	NA	NA	NA	NA	3672	NA
"ME203537"	3167	NA	3170	NA	NA	2653	NA	2064	NA	NA	NA	NA	1145	NA	NA	NA	NA	NA	NA	NA	NA	NA	1149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203535"	51436	31986	37390	35635	10806	36235	NA	28649	21712	NA	28746	25882	11207	5727	33951	11126	38580	NA	24829	27873	12037	17657	17380	16315	36427	7463	26142	45649	34665	41454	14305	56413	24435
"ME203536"	NA	NA	NA	98357	NA	NA	92013	NA	82720	73486	80257	NA	NA	NA	NA	47184	NA	6551	NA	NA	NA	59874	NA	NA	NA	NA	85797	NA	115152	125862	NA	NA	NA
"ME203538"	173307	42188	29758	97105	134640	31165	131438	87991	104883	62074	170277	83815	74581	93852	147864	171497	112833	61971	90492	65301	89456	82793	125656	139910	27872	102819	114297	97895	74168	79841	54740	117464	46317
"ME203539"	4141067	10800000	8456570	5574433	6493484	17300000	5215884	6853633	1077084	1010744	735233	1703285	543943	639032	617138	2748393	1356270	NA	533049	1351881	340626	1568749	307850	3391085	1882805	925023	871104	745784	271328	428133	738325	743204	2350383
"ME203540"	NA	4763	1374	3337	2668	6733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203541"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28122	NA	NA	NA	NA	NA	NA	NA
"ME203542"	9598	9957	7939	7841	4644	7555	9850	4254	4294	4669	4707	5285	NA	NA	6288	5479	6224	6137	5319	5944	5091	5901	5498	5883	6854	5503	5677	5618	5491	5242	5636	5230	6667
"ME203543"	22122	13713	32861	26737	20796	19365	NA	26186	NA	NA	NA	NA	NA	NA	15364	NA	32906	NA	NA	NA	9613	NA	NA	21332	24320	NA	8423	NA	NA	8801	NA	NA	7927
"ME203544"	249799	180468	26778	408915	184079	281864	105417	344852	448229	184592	358029	418448	400319	1697247	420926	72883	205866	339301	342940	1649843	167034	319924	266776	473861	331700	610282	253681	179790	222424	404535	213006	150952	633721
