"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME203919"	NA	NA	NA	NA	13235	NA	NA	NA	5417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19973	NA	NA	2906	NA	50019	NA	11464	NA	3999	10333	12515	7486	33646
"ME203920"	6811	NA	7098	NA	6391	8289	NA	4294	5237	5744	7554	5648	NA	9868	6311	8569	9464	6855	14099	NA	7508	15217	6452	8045	NA	4793	NA	8110	NA	NA	NA	13518	17420
"ME203921"	NA	NA	NA	NA	NA	8370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7409	22946	NA	NA	NA	NA	NA	48683	NA	NA
"ME203922"	NA	NA	NA	NA	NA	NA	NA	NA	61783	NA	NA	NA	NA	18402	NA	25273	16643	NA	NA	17415	NA	NA	NA	NA	NA	NA	NA	5683	NA	NA	NA	NA	46019
"ME203910"	NA	NA	NA	NA	NA	NA	NA	NA	NA	31000	NA	NA	NA	10084	29792	NA	NA	NA	NA	NA	NA	20522	NA	31073	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203911"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3147	NA	NA	NA	NA	NA	22285	NA	57111	77066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203923"	NA	NA	NA	9595	NA	NA	NA	NA	NA	NA	NA	NA	1710	2019	6868	NA	NA	NA	4451	NA	NA	NA	NA	1026	1745	NA	NA	NA	NA	NA	NA	NA	5702
"ME203924"	NA	7076	8497	NA	NA	6552	NA	NA	20762	24597	NA	NA	10953	25528	NA	5203	NA	NA	22457	19468	30955	6140	6560	NA	NA	NA	2260	NA	NA	NA	10361	37747	NA
"ME203926"	NA	10613	5577	NA	NA	12012	3584	NA	NA	NA	2854	NA	NA	NA	NA	6208	NA	NA	NA	NA	2818	NA	NA	NA	NA	1303	NA	NA	NA	NA	2637	NA	NA
"ME203927"	NA	NA	NA	NA	3222	NA	16222	NA	72920	406821	12945	3684	7157	NA	4722	NA	23491	30905	10045	522512	7441	45635	118422	NA	738136	5808	324678	11110	217461	250722	236835	26093	1485536
"ME203929"	65230	127690	75668	109382	103613	86672	77060	53501	27606	39501	55107	63766	18792	12056	25548	18327	29666	NA	32220	64524	22542	NA	22032	43483	75954	38618	19654	38485	10301	8604	53774	18031	37211
"ME203930"	14168	NA	NA	29478	NA	NA	NA	NA	8269	12067	NA	19446	7789	NA	4064	NA	NA	NA	NA	NA	NA	NA	7884	13527	NA	12242	6010	11573	NA	NA	17337	NA	10087
"ME203931"	NA	89477	59041	71515	NA	88357	NA	NA	30024	40915	NA	75328	26212	NA	NA	22261	NA	NA	NA	NA	24956	NA	25613	NA	NA	41590	NA	41320	NA	NA	58676	18800	NA
"ME203932"	249847	379824	441443	454984	704604	NA	233480	563394	312955	228742	241740	281454	410133	228991	409063	290370	635351	70727	593815	601584	394920	365244	538393	514937	NA	274312	477540	331001	377696	462225	441806	576565	306318
"ME203933"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8791	NA	NA	NA	9886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203928"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203934"	NA	NA	NA	NA	NA	11074	NA	4014	NA	3940	NA	NA	NA	NA	NA	NA	3677	NA	2818	NA	NA	NA	NA	NA	3617	NA	NA	NA	NA	NA	1626	NA	6688
"ME203935"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3465	NA	NA	NA	NA	NA	NA	NA	5445
"ME203936"	NA	9329	NA	15316	7582	14726	13484	11953	NA	NA	NA	9669	8548	3616	9840	NA	9021	NA	8792	NA	NA	6504	7885	8452	13219	13056	NA	NA	NA	NA	14129	NA	14285
"ME203941"	NA	11474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35524	3092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203937"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1510	2230	NA	NA	8491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203938"	22352	43874	21437	44984	28655	69765	46171	36114	8014	7722	39587	48234	15754	9609	24066	NA	10985	NA	22018	59548	13237	19044	11153	26516	64345	33899	12972	19473	7351	4161	36314	9345	24409
"ME203939"	NA	NA	NA	NA	NA	NA	NA	NA	NA	8172	NA	NA	NA	11483	NA	NA	NA	NA	NA	NA	NA	23148	NA	NA	NA	NA	NA	19125	NA	NA	NA	NA	NA
"ME203940"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7706	3637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203942"	7853	17379	15909	NA	20206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1326	2561	NA	3319	1282	1398	NA	NA	NA	2813	NA	NA	NA	NA	NA
"ME203943"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203944"	NA	NA	NA	NA	NA	NA	NA	NA	4228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203945"	NA	NA	NA	NA	7113	3445	NA	6680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2756	NA	1040	NA	NA	1849	NA	NA	NA	NA	NA	NA	NA	2026	NA
"ME203946"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203958"	NA	NA	6288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203959"	NA	NA	2073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203947"	NA	NA	NA	NA	NA	2483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4922	NA	NA
"ME203948"	3660138	4697265	4948617	5422297	3714571	NA	5906235	5792066	4913380	5438640	4800341	4409548	4085506	2778171	4212268	3431728	4760765	525201	3927155	4962171	5032369	4526915	5153185	5121459	NA	4982506	5685518	4991682	4426194	4641215	5206735	5684228	5767829
"ME203960"	NA	5902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203949"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12935	NA	NA	NA	NA
"ME203950"	NA	NA	NA	NA	NA	11955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203961"	178757	133338	245347	76961	56653	NA	182454	90297	245683	113049	217898	131199	162007	69364	68993	67465	357477	48632	156552	228567	179976	235003	417165	100907	NA	99652	NA	157707	163954	NA	168642	12058	468747
"ME203962"	NA	NA	NA	1601	NA	8350	NA	NA	NA	NA	NA	2389	NA	NA	NA	3248	NA	NA	1251	NA	1706	NA	NA	NA	NA	NA	NA	NA	NA	3363	2448	NA	NA
"ME203963"	NA	NA	NA	2927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203964"	NA	NA	NA	4000	3215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203965"	23084	32641	28279	57482	61994	NA	22647	103311	9666	3131	23357	NA	NA	13933	58523	NA	82736	NA	31687	11037	15575	6348	19910	28451	NA	31079	21672	12613	11041	11510	13192	2039	20732
"ME203951"	NA	NA	NA	NA	1761	NA	NA	NA	NA	4292	NA	NA	NA	NA	NA	NA	NA	NA	NA	3606	NA	NA	NA	NA	NA	NA	NA	8943	NA	NA	NA	NA	NA
"ME203952"	80732	98131	101644	123999	121595	NA	96940	37311	NA	NA	60029	NA	NA	NA	NA	NA	13296	NA	NA	27192	NA	NA	NA	NA	37359	167449	NA	NA	NA	NA	NA	NA	NA
"ME203953"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203954"	NA	NA	NA	NA	NA	NA	NA	1219	NA	1284	NA	1414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1812	NA	NA	NA	NA	2162	NA	NA	2590	NA
"ME203955"	89820	NA	NA	NA	NA	NA	NA	NA	NA	NA	1259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203956"	9009	5936	10162	6095	5410	NA	8123	3553	NA	NA	NA	NA	NA	NA	NA	8719	NA	NA	NA	NA	4667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203957"	4968	NA	NA	NA	NA	NA	1780	1906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2677	NA	NA	NA	NA	NA	NA
"ME203966"	NA	NA	NA	NA	26237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203967"	NA	NA	3241	3302	NA	5464	NA	NA	4863	NA	3661	3940	3234	2732	3209	1657	3976	NA	4396	17994	3322	4809	NA	2910	6367	3887	4728	2267	3538	4648	6182	8438	11864
"ME203925"	NA	NA	74968	3862	9472	NA	NA	137086	6365	2638	1340	26347	3498	NA	NA	NA	2010	NA	1446	NA	NA	4582	1429	NA	NA	44644	NA	NA	NA	NA	3240	NA	NA
"ME203971"	1237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203972"	22318	34543	169324	55506	29397	28872	57966	90634	150266	212832	48028	115972	56477	NA	107005	130367	18031	53226	85329	70624	24251	137841	54936	287703	8550	52188	49436	19124	26788	33114	35849	23245	9074
"ME203973"	NA	NA	59478	23720	NA	NA	28697	62628	79983	47713	NA	90509	NA	NA	76232	108703	NA	NA	NA	12173	NA	61260	NA	230650	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203974"	22501	21271	10724	28912	14626	12727	22142	NA	24855	NA	26155	25268	23004	12373	14828	18582	21931	NA	32423	NA	21387	35343	NA	23193	NA	23164	8701	NA	5447	29881	9261	17322	2349
"ME203975"	30508	NA	14377	33816	9747	15206	27185	33846	28802	NA	31272	45043	23440	42557	29948	51459	34919	90237	42044	22371	32479	45127	39040	53265	NA	54125	27042	70102	35809	23520	NA	26937	18099
"ME203976"	59618	32032	30641	45432	47140	6332	93935	40833	131202	46798	132929	90988	31313	25468	62121	35572	111014	13899	39435	51358	26458	76850	217086	76766	15944	73641	73152	110679	17467	20979	75905	98564	23278
"ME203977"	38099	24269	21977	31451	31811	4954	61654	25228	96523	36274	83545	61874	23862	22592	41055	27777	67911	8085	30934	37804	26510	55477	126353	52113	7509	52766	53759	75685	20419	22063	53937	53164	14599
"ME203978"	104427	3908	NA	NA	NA	5078	22324	NA	181523	NA	NA	NA	9753	14147	8284	9990	211553	NA	2870	NA	14094	NA	NA	NA	NA	8354	NA	NA	NA	NA	NA	403488	NA
"ME203979"	NA	NA	NA	NA	NA	NA	NA	20362	31681	11975	NA	NA	NA	NA	NA	NA	NA	NA	15280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203980"	6188	86274	7595	NA	10013	NA	NA	17619	56224	17225	49991	NA	NA	NA	NA	NA	NA	NA	26473	9193	NA	NA	NA	NA	4995	NA	11925	NA	NA	NA	10065	NA	10963
"ME203981"	NA	2154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203968"	NA	NA	NA	NA	NA	NA	NA	NA	4900	NA	6684	4220	NA	7732	NA	NA	NA	NA	NA	NA	NA	NA	NA	1486	NA	3891	NA	3512	NA	NA	NA	NA	NA
"ME203969"	3578	NA	6797	NA	7779	NA	3291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203982"	NA	NA	NA	NA	NA	NA	NA	NA	161061	57211	62324	89908	NA	18149	NA	NA	NA	7820	NA	54161	26597	57314	90726	67903	101843	NA	31052	NA	53301	64091	30943	98312	325845
"ME203983"	46291	35264	49612	34410	56499	30947	49250	84286	28491	40987	54344	22234	33881	16310	25391	77824	64233	NA	23348	40690	30131	29077	36260	55236	38951	68761	44334	60333	23013	25790	32366	36789	44141
"ME203984"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203970"	NA	NA	NA	NA	NA	NA	1617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203985"	1021204	1431923	753667	1057261	1240743	733532	629902	687968	572110	439542	626128	770125	425235	353755	558062	334326	376170	26704	533020	634230	365914	524489	370493	607709	683099	921856	462156	608107	415621	510819	448735	611395	786901
"ME203986"	697041	901379	551709	929406	853081	936646	514218	1009268	332002	263328	356996	504804	222062	165892	328009	161751	436064	9686	275441	390802	172497	283051	168737	338090	447602	543579	230054	298152	187773	247265	225325	315986	520388
"ME203987"	5124	5770	1799	10918	4520	NA	NA	NA	NA	NA	NA	NA	NA	NA	23711	NA	5011	NA	4411	NA	NA	NA	NA	NA	NA	NA	3931	NA	NA	NA	NA	NA	NA
"ME203988"	1744313	5677	NA	2306	1986271	NA	NA	NA	2852968	2942429	2741276	3524535	2097318	1829349	2614121	NA	3261214	529265	2554079	NA	NA	20051	NA	959900	2627219	2403123	2421212	3106800	2143350	2154892	NA	424869	3022164
"ME203989"	50188	75381	61893	69221	15307	42016	61180	NA	27736	53202	34875	31807	90227	88955	67338	135852	56704	533155	58765	NA	125669	153374	135729	21823	82120	33157	166772	85722	98213	43591	40167	89312	33029
"ME203990"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2354	NA	NA
"ME203991"	NA	NA	NA	NA	NA	4476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203992"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13476	5314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203993"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1713	4793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203994"	NA	NA	NA	NA	371086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203995"	3180	2550	2873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203996"	NA	NA	NA	NA	NA	NA	NA	4537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203997"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10468	NA	4702	NA	5397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6598	NA	NA
"ME203998"	NA	NA	1747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203999"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204000"	334793	128406	165794	58127	356761	NA	60809	168942	464694	532017	395052	587763	445048	333570	427513	173222	459232	191519	334474	NA	55648	195396	NA	152720	596332	416467	410250	577638	174139	169563	NA	71403	539048
"ME204001"	NA	NA	NA	2959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204002"	24537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204003"	93773	155353	212348	198944	239939	215368	261249	416471	487340	570941	348252	932496	497124	546931	218009	256845	163411	19522	685362	264853	459419	166158	774938	472882	789422	832076	303812	171173	NA	88043	793432	141230	402416
"ME204004"	NA	NA	NA	NA	NA	NA	NA	1179	NA	NA	75089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204005"	NA	NA	NA	NA	NA	NA	1779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204006"	6504	4497	6782	9992	25821	7889	22212	22746	14018	NA	5412	5173	16491	5255	9391	20237	16549	NA	18900	NA	7336	8337	108633	NA	NA	26087	NA	NA	NA	NA	NA	92458	NA
"ME204007"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204008"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12606	23297	NA	NA	NA	NA	NA	NA	NA	36678	NA	NA	NA	44530	NA	NA	NA	NA	NA	NA	35748
"ME204009"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204010"	NA	NA	NA	NA	NA	NA	NA	NA	7601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204011"	14914	21095	21593	101932	106644	7973	14835	52156	320280	9350	11988	7810	5013	12426	19077	9348	117671	NA	15678	11447	5842	14230	9133	28003	NA	22457	13330	15170	7981	12945	7135	23579	21197
"ME204012"	NA	NA	NA	NA	NA	11471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204013"	6540	NA	NA	NA	NA	NA	5090	NA	NA	NA	NA	1195	NA	NA	NA	NA	NA	NA	NA	NA	NA	6476	NA	NA	NA	NA	5307	NA	NA	NA	7399	NA	NA
"ME204014"	NA	NA	NA	NA	4039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204015"	81038	70661	NA	NA	NA	79995	NA	107652	NA	52908	NA	NA	80226	103926	NA	128846	NA	NA	NA	NA	45820	NA	NA	45250	NA	65894	91573	NA	NA	NA	102471	NA	NA
"ME204016"	5674	NA	NA	NA	3095	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	NA	2276	NA	NA	6110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7701	8475
"ME204017"	NA	7454	9208	5358	2075	NA	NA	NA	1308	NA	NA	7414	1203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1814	NA	7121	NA	3363	NA	NA	NA	1066	NA
"ME204018"	NA	NA	NA	NA	5773	NA	NA	NA	NA	NA	6759	22051	29754	NA	NA	NA	19937	NA	4590	NA	NA	NA	NA	2434	25976	NA	NA	NA	NA	NA	NA	NA	NA
"ME204019"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1908	NA	NA	NA
"ME204020"	NA	28699	NA	NA	NA	NA	NA	NA	NA	13604	NA	NA	NA	NA	NA	NA	NA	NA	NA	29300	NA	NA	4643	NA	NA	NA	12242	NA	20068	34188	13243	NA	66659
"ME204021"	NA	2775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204022"	NA	NA	5653	2180	NA	NA	NA	NA	NA	NA	NA	4643	NA	NA	NA	NA	NA	2486	NA	NA	NA	NA	2901	2782	2486	NA	NA	NA	1950	2253	6694	NA	3193
"ME204023"	NA	19384	30839	28740	27236	NA	NA	28279	NA	NA	22511	NA	NA	NA	9708	NA	11419	NA	NA	NA	NA	22488	NA	NA	NA	NA	NA	8565	5587	NA	9709	NA	21293
"ME204024"	394334	102586	972381	NA	NA	192318	202784	185770	113282	NA	193313	37180	NA	NA	113557	NA	NA	NA	NA	NA	NA	220129	662361	75572	NA	92026	NA	324128	NA	NA	NA	251551	NA
"ME204025"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18109	NA	NA	NA	NA	1877	NA	NA	NA	NA	NA
"ME204026"	27863	NA	NA	21250	27722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44262	NA	NA	NA	NA	NA	NA	NA	NA
"ME204027"	4663	NA	NA	NA	32467	14725	3598	16226	13709	6471	NA	NA	NA	15221	NA	11244	31315	3027	6637	20027	7578	NA	NA	11775	NA	NA	NA	1375	NA	7467	NA	9091	11694
"ME204028"	46668	30343	49633	36965	32028	22369	31422	95693	139741	17677	66769	NA	29874	43590	41798	93623	145181	NA	50369	104047	41568	333693	747940	52763	126480	49673	415129	40477	48809	53475	83981	243930	481966
"ME204029"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1333	NA	NA	NA	NA	NA	NA
"ME204030"	18702	12035	14480	7555	5356	5240	7649	11730	14940	3694	17793	5985	3215	NA	2529	10675	19061	NA	8432	33781	9440	126136	170967	18168	9859	8443	47650	11790	3995	5029	5908	28662	55192
"ME204031"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204032"	8262	17809	9108	35921	23362	2037	6172	56516	10362	2277	1983	1678	NA	1095	2095	NA	21915	NA	2672	1598	NA	1095	NA	5225	19790	1856	1590	3046	1348	2733	NA	2553	2300
"ME204033"	NA	59088	37281	NA	NA	46408	17091	26458	14682	NA	34782	11558	8428	2847	25051	9237	NA	14063	6838	NA	4866	7566	26308	5407	NA	NA	NA	NA	NA	NA	NA	16658	13955
"ME204034"	7145	NA	NA	NA	NA	NA	5306	NA	NA	NA	NA	4585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204035"	91377	158636	77520	260117	187022	NA	NA	426720	285738	59626	69708	407721	33114	85597	55567	27413	440427	28398	117942	31083	22334	32792	58327	76854	645114	34906	59038	64145	89531	102260	47929	112450	37005
"ME204036"	27270	11690	13197	17568	18594	15479	12556	13414	13135	11130	10945	9499	10496	11935	7060	6275	5443	6694	5891	2496	5537	4532	4295	4921	NA	4880	3176	6246	4148	1841	4873	4560	3712
"ME204037"	NA	NA	5027	NA	6380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204038"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204039"	NA	22078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204040"	NA	NA	NA	NA	41633	8313	16532	28737	NA	NA	NA	NA	13381	NA	NA	NA	87530	NA	25045	NA	50664	NA	NA	NA	NA	26803	NA	NA	41912	45858	NA	59661	NA
"ME204041"	126841	51132	35593	45826	154066	51200	93063	129364	63340	54830	142399	73514	59455	9404	15351	37824	346681	NA	136461	39534	250776	98950	84486	52296	39935	165427	65037	17764	239997	265256	56695	206991	47153
"ME204042"	NA	NA	8994	NA	8374	NA	NA	NA	NA	6266	NA	NA	NA	NA	NA	NA	NA	NA	NA	41873	NA	11344	4714	NA	NA	NA	8119	NA	NA	NA	NA	20972	NA
"ME204043"	NA	NA	NA	NA	NA	NA	4382	5245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204044"	NA	NA	NA	NA	15278	NA	NA	7267	NA	NA	NA	NA	NA	NA	8702	NA	NA	NA	NA	NA	NA	NA	NA	NA	9599	24136	4985	NA	NA	NA	NA	26577	15647
"ME204045"	NA	NA	NA	NA	NA	NA	29002	NA	NA	NA	NA	7378	NA	NA	NA	27812	7499	NA	NA	NA	NA	32967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
